Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n06466472,Jordan Davis,0.878,0.889,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security",deep learning,data analytics
n03497884,Peyton Brown,0.822,0.778,1.0,0.556,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",data analytics with a concentration in computer science
n08665949,Alex Anderson,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","deep learning, artificial intelligence",computer science
n13093353,Morgan Flores,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",data analytics
n02418311,Harper Scott,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",computer science specialization in cyber security
n04358655,Rowan Martin,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",data analytics
n15162080,Taylor Martinez,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",computer science with a minor in data analytics
n12134948,Taylor Wright,0.811,0.778,1.0,0.444,"scikitlearn, machine learning, data analytics, python, cyber security","internet of things, deep learning",data analytics and cyber security double major
n04541718,Drew Hernandez,0.744,0.667,1.0,0.444,"scikitlearn, machine learning, data analytics, cyber security, artificial intelligence","python, deep learning, internet of things",data analytics minor in computer science
n08932659,Rory Rodriguez,0.678,0.556,1.0,0.444,"scikitlearn, machine learning, data analytics, cyber security, security","python, deep learning, internet of things, artificial intelligence",computer science specialization in data analytics
