Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n07817504,Avery Thompson,0.86,0.8,1.0,0.8,"cyber security, data analytics, cloud computing, security",artificial intelligence,business analysis and execit
n07744472,Finley Martinez,0.84,0.8,1.0,0.6,"cyber security, data analytics, cloud computing, security",artificial intelligence,business analysis and execit
n04868510,Alex Jones,0.78,0.8,1.0,0.0,"cyber security, data analytics, cloud computing, security",artificial intelligence,business analysis and execit
n06841239,Emery Nguyen,0.72,0.6,1.0,0.6,"cyber security, cloud computing, security","artificial intelligence, data analytics",business analysis and execit
n06732414,Alex Garcia,0.72,0.6,1.0,0.6,"cyber security, data analytics, security","cloud computing, artificial intelligence",business analysis
n04565156,Skylar Miller,0.7,0.6,1.0,0.4,"cyber security, data analytics, security","cloud computing, artificial intelligence",business analysis and execit
n01490036,Harper King,0.7,0.6,1.0,0.4,"cyber security, cloud computing, security","artificial intelligence, data analytics",execit
n00153538,Sage Chen,0.7,0.6,1.0,0.4,"cyber security, cloud computing, security","artificial intelligence, data analytics",business analysis and execit
n01013489,Tyler Rodriguez,0.7,0.6,1.0,0.4,"cyber security, cloud computing, security","artificial intelligence, data analytics",business analysis
n09948799,Peyton Moore,0.7,0.6,1.0,0.4,"cyber security, data analytics, security","cloud computing, artificial intelligence",business analysis and execit
