Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n00201259,Blake Jackson,0.98,1.0,1.0,0.8,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security and computer science
n02835887,Peyton Jones,0.96,1.0,1.0,0.6,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security
n16162654,Jamie Chen,0.96,1.0,1.0,0.6,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security
n11497005,Devon White,0.96,1.0,1.0,0.6,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security
n06306854,Tyler Williams,0.9,1.0,1.0,0.0,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security
n01687591,Reagan Thompson,0.9,1.0,1.0,0.0,"cyber security, data analytics, internet of things, security, artificial intelligence",,cyber security and computer science
n13873661,Skylar Smith,0.86,0.8,1.0,0.8,"cyber security, data analytics, security, artificial intelligence",internet of things,cyber security
n08875269,Rory Flores,0.86,0.8,1.0,0.8,"cyber security, data analytics, security, artificial intelligence",internet of things,computer science with a minor in cyber security
n12405076,Riley White,0.84,0.8,1.0,0.6,"cyber security, data analytics, security, artificial intelligence",internet of things,cyber security
n06718034,Devon Lopez,0.84,0.8,1.0,0.6,"cyber security, data analytics, security, artificial intelligence",internet of things,cyber security
