Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
nff065a74,Tyler Johnson,0.564,0.571,0.5,0.714,"machine learning, data analytics, python, deep learning","security, artificial intelligence, cyber security",data analytics
nba9e3de4,Peyton Hill,0.464,0.429,0.5,0.571,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",computer science
n5dd13e45,Rory Moore,0.45,0.429,0.5,0.429,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",data analytics
n8ab07320,Drew Wilson,0.45,0.429,0.5,0.429,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",data analytics
n1370d1a5,Finley Wilson,0.45,0.429,0.5,0.429,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",data analytics
nb065aafc,Cameron Hernandez,0.436,0.429,0.5,0.286,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",computer science
nfd66da84,Rory Johnson,0.436,0.429,0.5,0.286,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",computer science
n335f2be5,Finley Flores,0.436,0.429,0.5,0.286,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",computer science
n72f28e37,Emery Taylor,0.436,0.429,0.5,0.286,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",computer science
n825574e8,Taylor Harris,0.436,0.429,0.5,0.286,"machine learning, data analytics, python","deep learning, security, artificial intelligence, cyber security",data analytics
