Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n05399136,Skylar Williams,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n08416091,Hayden Lopez,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n10531344,River Garcia,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n03962866,Tyler Thompson,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n03186319,Rowan Thompson,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n09324256,Madison Hernandez,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",computer science and software engineering
n14689252,Riley Johnson,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n00408694,Phoenix Martinez,0.633,0.5,1.0,0.333,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n14963558,Devon Taylor,0.617,0.5,1.0,0.167,"data analytics, react, security","artificial intelligence, gan, nlp",software development
n09133119,Reese Lee,0.617,0.5,1.0,0.167,"data analytics, react, security","artificial intelligence, gan, nlp",software development
