Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n16028113,Rory Moore,0.7,0.667,1.0,0.0,"python, data analytics",artificial intelligence,artificial intelligence
n08396782,Sage Young,0.533,0.333,1.0,0.333,python,"artificial intelligence, data analytics",artificial intelligence
n07039725,Avery Flores,0.533,0.333,1.0,0.333,python,"artificial intelligence, data analytics",artificial intelligence
n15651121,Taylor White,0.533,0.333,1.0,0.333,python,"artificial intelligence, data analytics",artificial intelligence
n02008322,Sydney Taylor,0.533,0.333,1.0,0.333,python,"artificial intelligence, data analytics",artificial intelligence
n15766237,Sydney Moore,0.5,0.333,1.0,0.0,python,"artificial intelligence, data analytics",artificial intelligence
n06913443,Casey Martin,0.5,0.333,1.0,0.0,python,"artificial intelligence, data analytics",artificial intelligence
n10100065,Harper Wilson,0.5,0.333,1.0,0.0,python,"artificial intelligence, data analytics",artificial intelligence
n08291346,Casey Martin,0.5,0.333,1.0,0.0,python,"artificial intelligence, data analytics",artificial intelligence
n12482357,River Harris,0.5,0.333,1.0,0.0,python,"artificial intelligence, data analytics",artificial intelligence
