Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n04003748,Harper Rodriguez,1.0,1.0,1.0,1.0,artificial intelligence,,business analysis
n01092625,Skylar Young,1.0,1.0,1.0,1.0,artificial intelligence,,business analysis
n05891550,Reagan Chen,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n15715574,Morgan Torres,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n07213892,Taylor Torres,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n08042935,Reese Jones,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n13650218,Hayden Scott,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n09492178,Hayden Moore,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n15737619,Rowan Moore,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
n03009760,Reese Brown,0.9,1.0,1.0,0.0,artificial intelligence,,business analysis
