Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n10303522,Cameron Miller,0.933,1.0,1.0,0.333,"python, artificial intelligence, data analytics",,data analytics
n11998054,Harper Thompson,0.933,1.0,1.0,0.333,"python, artificial intelligence, data analytics",,data analytics
n13035893,Taylor Hill,0.9,1.0,1.0,0.0,"python, artificial intelligence, data analytics",,data analytics and computer science
n05927857,Devon Johnson,0.9,1.0,1.0,0.0,"python, artificial intelligence, data analytics",,data analytics and computer science
n01159145,Rory Wilson,0.9,1.0,1.0,0.0,"python, artificial intelligence, data analytics",,data analytics
n06976848,Jordan Harris,0.9,1.0,1.0,0.0,"python, artificial intelligence, data analytics",,data analytics
n01585387,Blake Flores,0.6,1.0,0.0,0.0,"python, artificial intelligence, data analytics",,data analytics with computer systems specialization
n06992661,Blake Miller,0.6,1.0,0.0,0.0,"python, artificial intelligence, data analytics",,data analytics with a minor in computer science
n07002401,Sydney Nguyen,0.6,1.0,0.0,0.0,"python, artificial intelligence, data analytics",,data analytics with a focus on computer systems
n00668490,Jordan Scott,0.6,1.0,0.0,0.0,"python, artificial intelligence, data analytics",,data analytics with a minor in computer science
