Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n11252525,Alex Flores,0.82,0.8,1.0,0.4,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n09804514,Reese Scott,0.82,0.8,1.0,0.4,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n13087663,Peyton Hernandez,0.82,0.8,1.0,0.4,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n08901613,Sydney Brown,0.8,0.8,1.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n06114515,Devon Williams,0.8,0.8,1.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics
n09274950,Drew Jones,0.8,0.8,1.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n12784106,Phoenix Miller,0.8,0.8,1.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics and computer science
n14519596,Tyler Lopez,0.52,0.8,0.0,0.4,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics with a minor in computer science
n03780196,Sage Brown,0.5,0.8,0.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics minor in computer science
n00352388,Finley White,0.5,0.8,0.0,0.2,"machine learning, data analytics, python, artificial intelligence",neural networking,data analytics with a minor in computer science
