Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n13177467,Rory Lopez,0.8,0.75,1.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n10165670,Reese Hernandez,0.8,0.75,1.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n08499357,Kendall Scott,0.8,0.75,1.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n06341957,Tyler Flores,0.8,0.75,1.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n03698473,Logan Lee,0.775,0.75,1.0,0.25,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n13074181,Avery Davis,0.75,0.75,1.0,0.0,"artificial intelligence, machine learning, data analytics",gan,computer science and data analytics
n10415240,Quinn Garcia,0.5,0.75,0.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science with data analytics specialization
n13605583,Rory Allen,0.5,0.75,0.0,0.5,"artificial intelligence, machine learning, data analytics",gan,computer science data analytics specialization
n02867192,Harper Harris,0.475,0.75,0.0,0.25,"artificial intelligence, machine learning, data analytics",gan,computer science with data analytics specialization
n13410902,Madison Johnson,0.45,0.75,0.0,0.0,"artificial intelligence, machine learning, data analytics",gan,computer science with data analytics specialization
