Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n07927421,Morgan Lee,0.717,0.667,1.0,0.167,"machine learning, data analytics, python, cyber security, pytorch","internet of things, deep learning, cnn, signal processing",software development
n12300359,Hayden Young,0.692,0.583,1.0,0.417,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n15410626,Jamie Lopez,0.683,0.583,1.0,0.333,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n10761320,Drew Johnson,0.683,0.583,1.0,0.333,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",computer science software engineering specialization
n15945675,Phoenix Hill,0.675,0.583,1.0,0.25,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n12836502,Skylar Harris,0.675,0.583,1.0,0.25,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n08963298,Avery Young,0.675,0.583,1.0,0.25,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n10055590,Blake Thompson,0.675,0.583,1.0,0.25,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n01189174,Reese Allen,0.675,0.583,1.0,0.25,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development
n00195692,Peyton Williams,0.658,0.583,1.0,0.083,"machine learning, data analytics, python, cyber security, artificial intelligence","internet of things, pytorch, cnn, deep learning, signal processing",software development and computer science
