Student ID,Student Name,Total Score,Skill Score,Major Score,Interest Score,Matched Skills,Missing Skills,Student Majors
n14695376,Morgan Harris,0.65,0.5,1.0,0.5,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n08970940,Avery King,0.65,0.5,1.0,0.5,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n08656729,Madison Moore,0.625,0.5,1.0,0.25,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n13241358,Devon Williams,0.625,0.5,1.0,0.25,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n04539845,Jordan Wright,0.625,0.5,1.0,0.25,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n04873519,Drew Johnson,0.625,0.5,1.0,0.25,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n09745425,Alex Lee,0.625,0.5,1.0,0.25,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n08153626,Rowan Torres,0.6,0.5,1.0,0.0,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n11136316,Blake Garcia,0.6,0.5,1.0,0.0,"database, artificial intelligence","deep learning, cnn",computer science and data analytics
n02123086,Emery Miller,0.35,0.5,0.0,0.5,"database, artificial intelligence","deep learning, cnn",computer science with a minor in data analytics
